Case,ID,size,pixel_num_lung,pixel_num_fibrosis
2_0000,2_0000_338,256,67212,760
2_0000,2_0000_339,256,65760,768
2_0000,2_0000_340,256,64380,692
2_0000,2_0000_341,256,62880,820
2_0000,2_0000_342,256,61323,440
2_0000,2_0000_343,256,59865,0
2_0000,2_0000_344,256,58380,64
2_0000,2_0000_345,256,56769,128
2_0000,2_0000_346,256,55107,320
2_0000,2_0000_347,256,53292,260
2_0000,2_0000_348,256,51423,572
2_0000,2_0000_349,256,49917,144
2_0000,2_0000_350,256,48354,0
2_0000,2_0000_351,256,46746,292
2_0000,2_0000_352,256,45240,280
2_0000,2_0000_353,256,43791,296
2_0000,2_0000_354,256,42132,44
2_0000,2_0000_355,256,40503,240
2_0000,2_0000_356,256,38967,20
2_0000,2_0000_357,256,37431,0
2_0000,2_0000_358,256,35955,0
2_0000,2_0000_359,256,34485,0
2_0000,2_0000_360,256,32940,0
2_0000,2_0000_361,256,31467,0
2_0000,2_0000_362,256,30063,0
2_0000,2_0000_363,256,28590,0
2_0000,2_0000_364,256,27285,0
2_0000,2_0000_365,256,25971,0
2_0000,2_0000_366,256,24726,0
2_0000,2_0000_367,256,23502,0
2_0000,2_0000_368,256,22224,0
2_0000,2_0000_369,256,20793,0
2_0000,2_0000_370,256,19638,0
2_0000,2_0000_371,256,18465,0
2_0000,2_0000_372,256,17265,0
2_0000,2_0000_373,256,16050,72
2_0000,2_0000_374,256,14778,0
2_0000,2_0000_375,256,13590,0
2_0000,2_0000_376,256,12570,0
2_0000,2_0000_377,256,11553,0
2_0000,2_0000_378,256,10434,104
2_0000,2_0000_379,256,9180,0
2_0000,2_0000_380,256,8097,0
2_0000,2_0000_381,256,7038,108
2_0000,2_0000_382,256,6066,0
2_0000,2_0000_383,256,5172,0
2_0000,2_0000_384,256,4275,48
2_0000,2_0000_385,256,3465,304
2_0000,2_0000_386,256,2682,348
2_0000,2_0000_387,256,1782,176
2_0000,2_0000_388,256,1194,0
