Case,ID,size,pixel_num_lung,pixel_num_fibrosis
2_0000,2_0000_249,256,49215,3092
2_0000,2_0000_250,256,49410,3220
2_0000,2_0000_251,256,49593,3484
2_0000,2_0000_252,256,49773,3120
2_0000,2_0000_253,256,49893,3028
2_0000,2_0000_254,256,50121,3608
2_0000,2_0000_255,256,50214,3296
2_0000,2_0000_256,256,50229,3296
2_0000,2_0000_257,256,50250,2824
2_0000,2_0000_258,256,50412,3240
2_0000,2_0000_259,256,50580,3048
2_0000,2_0000_260,256,50721,3216
2_0000,2_0000_261,256,50877,3136
2_0000,2_0000_262,256,50955,3212
2_0000,2_0000_263,256,51072,3360
2_0000,2_0000_264,256,51120,3380
2_0000,2_0000_265,256,51357,3464
2_0000,2_0000_266,256,51396,3300
2_0000,2_0000_267,256,51240,3204
2_0000,2_0000_268,256,51132,3236
2_0000,2_0000_269,256,50940,3112
2_0000,2_0000_270,256,50778,3456
2_0000,2_0000_271,256,50649,3828
2_0000,2_0000_272,256,50496,4168
2_0000,2_0000_273,256,50400,4372
2_0000,2_0000_274,256,50322,4184
2_0000,2_0000_275,256,49890,3508
2_0000,2_0000_276,256,49821,3164
2_0000,2_0000_277,256,49938,3088
2_0000,2_0000_278,256,49920,3132
2_0000,2_0000_279,256,49851,2952
2_0000,2_0000_280,256,49857,3440
2_0000,2_0000_281,256,49833,3912
2_0000,2_0000_282,256,49695,3580
2_0000,2_0000_283,256,49647,2980
2_0000,2_0000_284,256,49464,2740
