Image_ID,MedSAM Dice 50 manual,MedSAM Orig Dice Scores,Diffusion + Unet,Diffusion + Unet_noscale,"max(sclae,noS)",mask_area
493,,0.188516751,0.507239997,0.486277342,0.507239997,4406
494,,0.344120473,0.410169482,0.453867674,0.453867674,683
495,,0.37342909,0.6734007,0.661598027,0.6734007,8966
496,,0.06595511,0.686853766,0.694499671,0.694499671,2335
497,,0.803350866,0.779922783,0.831632674,0.831632674,3102
498,,0.536021292,0.792422831,0.82259047,0.82259047,16632
499,,0.132614091,0.248131543,0.316343874,0.316343874,3331
500,,0.319349527,0.705310106,0.792838275,0.792838275,3873
501,,0.760255933,0.617671371,0.53722626,0.617671371,1587
502,,0.248205453,0.601445258,0.569519043,0.601445258,3049
503,,0.246050909,0.644144118,0.714999974,0.714999974,5699
504,,0.229574203,0.607601881,0.609238267,0.609238267,7908
505,,0.206559554,0.398373991,0.427959114,0.427959114,6535
506,,0.187332064,0.629101753,0.609720826,0.629101753,5247
507,,0.14875342,0.412213743,0.325233638,0.412213743,2189
508,,0.097257808,0.425142854,0.417318434,0.425142854,1355
509,,0.579710126,0.06845966,0,0.06845966,792
510,,0.342413157,0.300228298,0.400654435,0.400654435,2340
511,,0.186006442,0.616279066,0.632283926,0.632283926,7064
512,,0.289013028,0.275362313,0.294799864,0.294799864,878
513,,0.129826277,0.339233041,0.302962959,0.339233041,1996
514,,0.230914205,0.372907162,0.207800716,0.372907162,4739
515,,0.608336091,0.638329327,0.609239101,0.638329327,12306
516,,0.263879806,0.54971081,0.567820191,0.567820191,9365
517,,0.128367305,0.280117542,0.364542544,0.364542544,765
518,,0.547162235,0.689933538,0.746326149,0.746326149,21686
519,,0.114616059,0.591269851,0.525438249,0.591269851,3086
520,,0.467291653,0.561712861,0.514040053,0.561712861,13179
521,,0.068296522,0.201486379,0.189868376,0.201486379,976
522,,0.350291163,0.623633146,0.582414746,0.623633146,7378
523,,0.230066612,0.635737002,0.592719316,0.635737002,8681
524,,0.410026968,0.839540243,0.832318485,0.839540243,4351
525,,0.254773498,0.350877196,0.019119497,0.350877196,2640
526,,0.654568553,0.249795914,0.03530005,0.249795914,2707
527,,0.250803411,0.732984304,0.703445375,0.732984304,4490
528,,0.311707944,0.588907003,0.569278061,0.588907003,12439
529,,0.258543819,0.296961337,0.28248778,0.296961337,971
530,,0.607168972,0.06959153,0.293628812,0.293628812,636
531,,0.135210291,0.572614133,0.52374047,0.572614133,3459
532,,0.272791177,0.557670772,0.539791405,0.557670772,2636
533,,0.187221393,0.470689654,0.429841697,0.470689654,1892
534,,0.167968377,0.505865812,0.440947026,0.505865812,3584
535,,0.10754846,0.550218344,0.506177008,0.550218344,3541
536,,0.853436768,0.605909288,0.836920321,0.836920321,4587
537,,0.174460649,0.617736995,0.539919734,0.617736995,4346
538,,0.185290635,0.57535851,0.578109264,0.578109264,6669
539,,0.077855244,0.55829078,0.565966547,0.565966547,3351
540,,0.334856093,0.509698987,0.542904019,0.542904019,1987
541,,0.214635313,0.674953938,0.588219941,0.674953938,5368
542,,0.33899644,0.465075165,0.524873078,0.524873078,1142
543,,0.188134894,0.706093192,0.626016259,0.706093192,2722
544,,0.453985065,0.876051605,0.886722505,0.886722505,3964
545,,0.097058088,0.546748936,0.477167904,0.546748936,3360
546,,0.120423712,0.334412068,0.307753474,0.334412068,1131
547,,0.718718708,0.380348653,0.310033619,0.380348653,1265
548,,0.418000013,0.276729554,0.590636253,0.590636253,338
549,,0.371140391,0.746321917,0.751291871,0.751291871,5535
550,,0.100064903,0.517482519,0.492892623,0.517482519,2384
551,,0.106511258,0.654523373,0.694592774,0.694592774,2616
552,,0.120734759,0.421336949,0.587426305,0.587426305,2692
553,,0.042087354,0.444444448,0.570037246,0.570037246,1607
554,,0.596630931,0.746177375,0.675159216,0.746177375,1284
555,,0.230467424,0.709289014,0.688716531,0.709289014,7456
556,,0.343686253,0.345337033,0.265519351,0.345337033,1186
557,,0.660456479,0.477024078,0.321123332,0.477024078,875
558,,0.469809055,0.81155163,0.804509878,0.81155163,9134
559,,0.181909293,0.637436748,0.681642115,0.681642115,2189
560,,0.042051427,0.025284451,0,0.025284451,928
561,,0.201480582,0.580405414,0.416823387,0.580405414,5377
562,,0.575975537,0.514360905,0.745122313,0.745122313,23934
563,,0.132721797,0.533528745,0.43666026,0.533528745,4439
564,,0.158973381,0.697490096,0.629583418,0.697490096,4182
565,,0.136223942,0.4944897,0.517828286,0.517828286,4256
566,,0.544101298,0.524068952,0.766954839,0.766954839,23394
567,,0.260911942,0.602591813,0.539521217,0.602591813,3507
568,,0.504459023,0.699047625,0.694396019,0.699047625,3577
569,,0.205437064,0.616648436,0.626331091,0.626331091,3183
570,,0.109753996,0.613212287,0.489160478,0.613212287,3968
571,,0.081669509,0.480132461,0.493691504,0.493691504,2413
572,,0.106274039,0.56893903,0.576636314,0.576636314,3056
573,,0.130424082,0.667571247,0.453911692,0.667571247,4588
574,,0.262414902,0.810424089,0.771479607,0.810424089,9266
575,,0.235157326,0.401119411,0.594312012,0.594312012,6437
576,,0.171572983,0.507115126,0.450186998,0.507115126,2084
577,,0.609632015,0.552793741,0.517058313,0.552793741,27243
578,,0.214315727,0.375246882,0.267005473,0.375246882,4078
579,,0.189968884,0.461266041,0.579813898,0.579813898,4189
580,,0.13467823,0.044619422,0.221011207,0.221011207,5098
581,,0.303034574,0.633165836,0.5547809,0.633165836,2438
582,,0.577667296,0.789542496,0.704935253,0.789542496,1850
583,,0.445208699,0.729649127,0.779469311,0.779469311,16153
584,,0.190963671,0.678924084,0.648079336,0.678924084,6165
585,,0.263043493,0.559963524,0.527926564,0.559963524,2872
586,,0.140209913,0.575082481,0.565041661,0.575082481,3675
587,,0.138252527,0.592417061,0.564251184,0.592417061,777
588,,0.357848376,0.507692337,0.68653208,0.68653208,13757
589,,0.109727956,0.400523573,0.503268003,0.503268003,2650
590,,0.454887211,0.43575418,0.532069981,0.532069981,613
591,,0.263237715,0.736881256,0.723041117,0.736881256,5713
592,,0.775481105,0.405697435,0.279804021,0.405697435,2242
593,,0.252335399,0.490223467,0.619865894,0.619865894,7690
594,,0.077927627,0.523449302,0.476580024,0.523449302,3307
595,,0.14970094,0.612008274,0.713217556,0.713217556,3821
596,,0.077170223,0.465558201,0.349137932,0.465558201,1940
597,,0.278469592,0.52470839,0.624905229,0.624905229,10408
