Image_ID,orig_covid_ms1.50 - fib score,orig_covid_ms1.50 - fib score manip,manip - fib
541,0.003428585,0.618972361,0.615543776
542,0.018008415,0.613483787,0.595475372
543,0.078258686,0.979371309,0.901112624
544,0.082389541,0.932546556,0.850157015
545,0.006521464,0.97145319,0.964931726
546,0.003354367,0.776909351,0.773554985
547,0.186018631,0.928226233,0.742207602
548,0.396362364,0.972451985,0.576089621
549,0.002564344,0.88531059,0.882746246
550,0.011919188,0.633320153,0.621400964
551,0.040478341,0.852914333,0.812435992
552,0.13655439,0.872834325,0.736279935
553,0.013073651,0.83959043,0.826516779
554,0.206005171,0.102650613,-0.103354558
555,0.015719859,0.771833658,0.756113799
556,0.003776958,0.777518988,0.77374203
557,0.000325202,0.041698866,0.041373663
558,0.013745443,0.892652094,0.878906651
559,0.125698879,0.970168889,0.844470009
560,0.006947953,0.947549701,0.940601748
561,0.001078422,0.552973092,0.55189467
562,0.00575792,0.732260764,0.726502844
563,0.033221096,0.886330187,0.853109092
564,0.002270587,0.747532368,0.745261781
565,0.019558212,0.590390146,0.570831934
566,0.015222424,0.887992918,0.872770495
567,0.014121092,0.704770625,0.690649533
568,0.004222045,0.856032193,0.851810148
569,0.000700663,0.167435274,0.166734611
570,0.012095604,0.92316556,0.911069956
571,0.046034213,0.845111668,0.799077455
572,0.001594845,0.481259972,0.479665127
573,0.001911109,0.752123892,0.750212783
574,0.004176112,0.74996537,0.745789258
575,0.015785241,0.898987114,0.883201873
576,0.012954585,0.906362534,0.893407948
577,0.216286018,0.969654262,0.753368244
578,0.093085341,0.990794837,0.897709496
579,0.019396679,0.968811333,0.949414654
580,0.020659404,0.982811868,0.962152464
581,0.009154377,0.87144655,0.862292173
582,0.014697232,0.870952606,0.856255374
583,0.223324746,0.988785267,0.765460521
584,0.010450194,0.928864717,0.918414524
585,0.001093752,0.770883322,0.76978957
586,0.413687617,0.952299893,0.538612276
587,0.047669802,0.847149551,0.799479749
588,0.009167245,0.352935255,0.34376801
589,0.004673932,0.705238998,0.700565066
590,0.091228575,0.91201371,0.820785135
591,0.002522212,0.015909124,0.013386912
592,0.007285525,0.68758148,0.680295955
593,0.002534463,0.514736176,0.512201713
594,0.021251835,0.971066117,0.949814282
595,0.021372486,0.93663615,0.915263664
596,0.003001793,0.463427246,0.460425453
597,0.006062103,0.447523415,0.441461313
598,0.034440361,0.693717778,0.659277417
599,0.026180759,0.950530887,0.924350128
600,0.001345737,0.618206203,0.616860465
601,0.02141,0.873643398,0.852233399
602,0.001507813,0.01687202,0.015364208
603,0.294738859,0.988778949,0.69404009
604,0.001829874,0.467653573,0.465823699
605,0.489841759,0.997513771,0.507672012
606,0.159162119,0.285604805,0.126442686
607,0.010135151,0.730625033,0.720489882
608,0.029696936,0.958803773,0.929106837
609,0.005391183,0.812065065,0.806673882
610,0.011110628,0.846865535,0.835754907
